37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
37,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,37
37,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,37
37,22,37,37,37,22,37,22,37,22,37,22,22,22,22,37,22,37,22,22,22,22,22,22,37
37,22,37,45,37,22,37,22,37,22,37,22,22,22,22,37,22,37,37,37,37,37,22,22,37
37,22,37,22,37,22,37,22,37,22,37,22,22,22,22,37,22,45,45,45,45,37,22,22,37
37,22,37,22,37,22,37,22,37,22,37,37,37,37,22,37,22,22,22,22,22,37,22,22,37
37,22,37,22,37,22,37,22,37,22,45,45,45,37,22,37,37,37,37,37,22,37,22,22,37
37,22,37,22,37,22,37,22,37,22,22,22,22,37,22,45,45,45,45,45,22,37,22,22,37
37,22,37,22,37,22,37,22,37,22,37,37,37,37,22,22,22,22,22,22,22,45,22,22,37
37,22,37,22,37,22,37,37,37,22,37,45,45,45,22,37,37,37,37,37,22,22,22,22,37
37,22,45,22,45,22,45,45,45,22,45,22,22,22,22,45,45,45,45,45,22,22,22,22,37
37,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,37
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
